angle_deg,synapse_index,onset_time_ms,is_fired
180,85,100.0000,1
180,86,100.0000,1
180,87,101.3750,0
180,88,102.6650,0
180,89,100.0000,1
180,90,108.2650,0
180,91,105.3800,0
180,92,106.0800,0
180,93,100.0000,1
180,94,105.9200,0
180,95,102.5400,0
180,96,107.9900,0
180,97,103.4050,0
180,98,102.4850,0
180,99,100.0000,1
210,0,100.0000,1
210,1,100.0000,1
210,2,100.0000,1
210,3,100.0000,1
210,4,108.6150,0
210,5,110.8260,0
210,6,100.0000,1
210,7,100.0000,1
210,8,100.0000,1
210,9,105.1987,0
210,10,109.3842,0
210,11,100.0000,1
210,12,111.2106,0
210,13,100.0000,1
210,14,100.0000,1
210,15,100.0000,1
210,16,101.8887,0
210,17,100.0000,1
210,18,100.0000,1
210,19,100.0000,1
210,20,100.0000,1
210,21,100.0000,1
210,22,100.0000,1
210,23,100.0000,1
210,24,100.0000,1
210,25,100.0000,1
210,26,105.5147,0
210,27,108.9866,0
210,28,100.0000,1
210,29,100.0000,1
210,30,100.0000,1
210,31,100.0000,1
210,32,100.0000,1
210,33,100.0000,1
210,34,100.0000,1
210,35,100.0000,1
210,36,100.0000,1
210,37,108.2695,0
210,38,104.5045,0
210,39,100.0000,1
210,40,100.0000,1
210,41,100.0000,1
210,42,100.0000,1
210,43,100.0000,1
210,44,100.0000,1
210,45,108.3266,0
210,46,101.3875,0
210,47,100.0000,1
210,48,100.0000,1
210,49,109.8171,0
210,50,100.0000,1
210,51,101.7892,0
210,52,102.0717,0
210,53,100.0000,1
210,54,100.0000,1
210,55,100.0000,1
210,56,100.0000,1
210,57,107.2608,0
210,58,103.5188,0
210,59,100.0000,1
210,60,100.0000,1
210,61,100.0000,1
210,62,100.0000,1
210,63,100.3359,0
210,64,100.0000,1
210,65,100.0000,1
210,66,100.0000,1
210,67,112.1583,0
210,68,100.0000,1
210,69,100.0000,1
210,70,100.0000,1
210,71,119.7999,0
210,72,100.0000,1
210,73,106.3786,0
210,74,100.0000,1
210,75,100.0000,1
210,76,100.0000,1
210,77,104.7435,0
210,78,102.0540,0
210,79,100.0000,1
210,80,102.8437,0
210,81,100.0000,1
210,82,100.0000,1
210,83,100.0000,1
210,84,100.0000,1
210,85,100.0000,1
210,86,100.0000,1
210,87,102.3333,0
210,88,100.0000,1
210,89,100.0000,1
210,90,120.1302,0
210,91,109.4292,0
210,92,101.2054,0
210,93,101.9261,0
210,94,109.2044,0
210,95,106.2672,0
210,96,100.0000,1
210,97,108.1488,0
210,98,108.2821,0
210,99,113.5139,0
240,0,100.0000,1
240,1,100.0000,1
240,2,100.0000,1
240,3,100.0000,1
240,4,117.9816,0
240,5,116.9862,0
240,6,100.0000,1
240,7,100.0000,1
240,8,104.5982,0
240,9,105.7295,0
240,10,119.9990,0
240,11,100.0000,1
240,12,113.3574,0
240,13,100.0000,1
240,14,100.0000,1
240,15,100.0000,1
240,16,103.8213,0
240,17,102.8671,0
240,18,100.0000,1
240,19,100.0000,1
240,20,100.0000,1
240,21,100.0000,1
240,22,100.0000,1
240,23,100.0000,1
240,24,100.0000,1
240,25,100.0000,1
240,26,103.8767,0
240,27,109.7553,0
240,28,100.0000,1
240,29,100.0000,1
240,30,100.0000,1
240,31,100.0000,1
240,32,100.0000,1
240,33,101.2870,0
240,34,104.2354,0
240,35,100.0000,1
240,36,100.0000,1
240,37,111.7632,0
240,38,104.9620,0
240,39,100.0000,1
240,40,100.0000,1
240,41,100.0000,1
240,42,100.0000,1
240,43,100.0000,1
240,44,100.0000,1
240,45,112.2321,0
240,46,100.0000,1
240,47,100.0000,1
240,48,100.0000,1
240,49,119.7437,0
240,50,113.4930,0
240,51,100.0000,1
240,52,103.3583,0
240,53,100.0000,1
240,54,100.0000,1
240,55,100.0000,1
240,56,100.0000,1
240,57,113.5711,0
240,58,100.0000,1
240,59,100.0000,1
240,60,100.0000,1
240,61,100.0000,1
240,62,100.0000,1
240,63,100.9618,0
240,64,100.0000,1
240,65,100.0000,1
240,66,100.0000,1
240,67,111.1939,0
240,68,100.0000,1
240,69,100.0000,1
240,70,100.0000,1
